,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
297,50,2,0,5,0,7.8335,186.207,1.9,6,6,7,75,-3.07,Re
298,200,2,0,5,0,7.8335,186.207,1.9,6,6,7,75,-4.1,Re
299,500,2,0,5,0,7.8335,186.207,1.9,6,6,7,75,-4.37,Re
300,0,2,0,6,0,8.4382,190.23,2.2,6,6,8,76,1.95,Os
301,50,2,0,6,0,8.4382,190.23,2.2,6,6,8,76,-2.64,Os
302,200,2,0,6,0,8.4382,190.23,2.2,6,6,8,76,-3.54,Os
303,500,2,0,6,0,8.4382,190.23,2.2,6,6,8,76,-3.68,Os
304,0,2,0,7,0,8.967,192.217,2.2,6,6,9,77,2.36,Ir
305,50,2,0,7,0,8.967,192.217,2.2,6,6,9,77,-2.04,Ir
306,200,2,0,7,0,8.967,192.217,2.2,6,6,9,77,-2.5,Ir
307,500,2,0,7,0,8.967,192.217,2.2,6,6,9,77,-2.56,Ir
308,0,1,0,9,0,8.9588,195.084,2.28,6,6,10,78,2.83,Pt
309,50,1,0,9,0,8.9588,195.084,2.28,6,6,10,78,-1.39,Pt
310,200,1,0,9,0,8.9588,195.084,2.28,6,6,10,78,-2.91,Pt
311,500,1,0,9,0,8.9588,195.084,2.28,6,6,10,78,-3.94,Pt
312,0,1,0,10,0,9.2255,196.966569,2.54,6,6,11,79,3.01,Au
313,50,1,0,10,0,9.2255,196.966569,2.54,6,6,11,79,-1.4,Au
314,200,1,0,10,0,9.2255,196.966569,2.54,6,6,11,79,-3.87,Au
315,500,1,0,10,0,9.2255,196.966569,2.54,6,6,11,79,-5.94,Au
316,0,2,0,10,0,10.4375,200.59,2.0,6,6,12,80,1.94,Hg
317,50,2,0,10,0,10.4375,200.59,2.0,6,6,12,80,-2.44,Hg
318,200,2,0,10,0,10.4375,200.59,2.0,6,6,12,80,-4.31,Hg
319,500,2,0,10,0,10.4375,200.59,2.0,6,6,12,80,-5.36,Hg
320,0,2,1,0,0,6.1082,204.3833,1.62,6,6,13,81,0.07,Tl
321,50,2,1,0,0,6.1082,204.3833,1.62,6,6,13,81,-4.44,Tl
322,200,2,1,0,0,6.1082,204.3833,1.62,6,6,13,81,-6.4,Tl
323,500,2,1,0,0,6.1082,204.3833,1.62,6,6,13,81,-7.49,Tl
324,0,2,2,0,0,7.4167,207.2,2.33,6,6,14,82,0.86,Pb
