,minerals,,
450,K2Mg(CO3)2(H2O)4,,
451,Ca8S5(S2O3)(OH)12(H2O)20,,
452,BaZrSi3O9,,
453,Be3(Sc0.33Fe0.33Mg0.33)2Si6O18Na0.32(H2O),,
454,Be2(AsO4)(OH)(H2O)4,,
455,Ca2Al(PO4)2(OH),,
456,Pb(Fe2Cu)(SO4)2(OH)6,,
457,Pb(Fe2Zn)(SO4)2(OH)6,,
458,Zn7Cu(OH)13SiO(OH)3(SO4),,
459,Ca2V6Al6O20,,
460,Ca(UO2)6O4(OH)6(H2O)8,,
461,Ca2Mn4Fe2(PO4)6(H2O)2,,
462,CaFe3(PO4)3O,,
463,(Ta0.5Nb0.5)(BO4),,
464,Be(OH)2,,
465,U(SO4)2(H2O)4,,
466,(Na0.5Ca0.5)0.3Al2(Si0.5Al0.5)4O10(OH)2(H2O),,
467,Na7(UO2)(SO4)4(SO3(OH))(H2O)3,,
468,Cu7Hg6,,
469,Ba3Nb6(Si2O7)2O12,,
470,(K0.33Ba0.33Sr0.33)2Sr2Ca2(Ca0.5Na0.5)4(Si0.5Al0.5)36O72(H2O)30,,
471,Cu2Se,,
472,Cu3(IO3)6(H2O)2,,
473,Cu(OH)Cl,,
474,CuZn(SO4)2(H2O)10,,
475,KNa(SO4),,
476,KZn(SO4)Cl,,
477,NaCeSr3(PO4)3F,,
478,NaLaSr3(PO4)3F,,
479,Ca1.5(Ti0.5Nb0.5)5O12(H2O)9,,
480,Mn7Si6O15(OH)8,,
481,SrFe3(PO4)(PO3(OH))(OH)6,,
482,Pb4MnSb6S14,,
483,FeFe2(AsO4)2(OH)2(H2O)4,,
484,BaTiSi3O9,,
485,Ag3Bi7S12,,
486,Ag15Cu(Sb0.5As0.5)2S7Te4,,
487,Ba2FeSi2O7,,
488,Ba6Ca6Mg(CO3)13,,
489,Ca6Cr2(SO4)3(OH)12(H2O)26,,
490,KTiMn2Fe2(PO4)4OF(H2O)15,,
491,Fe6(PO4)4O(OH)4(H2O)6,,
492,Be2(BO3)(OH)(H2O),,
493,V2TiO5,,
494,KTi2Li3Si12O30,,
495,Ca2Ba4(UO2)9O6(PO4)6(H2O)16,,
496,CaBe(AsO4)(OH),,
497,Al(PO4),,
498,MnMn2(PO4)2(OH)2(H2O)4,,
499,Fe(OH)3,,
500,TlAs5S8,,
501,Pb12(As10Sb6)S36,,
502,SnS2,,
503,Cu3Ag2Pb3Bi7S16,,
504,(Fe0.33Fe0.33Al0.33)3(Si0.5Al0.5)2O5(OH)4,,
505,FeSb2S4,,
506,Li2CaAl4(PO4)4(OH)4,,
507,Be4Si2O7(OH)2,,
508,Be3Al2Si6O18,,
509,Be3(SiO4)(OH)2(H2O),,
510,NaBe(PO4),,
511,Cu1.88Se,,
512,(NaCa2)Mg2(AsO4)3,,
513,(NH4)2(UO2)(SO4)2(H2O)2,,
514,Na6Ti4(Si2O7)2P1.5O4.5(OH)1.5P0.5O1.0(OH)1.0O2((OH)0.5F0.5)O0.5,,
515,(Cu0.5Fe0.5)21Pb2S15,,
516,Ca2(H2O)17Ca(H2O)6Mo8As2Fe3O36(OH),,
517,Ca2(H2O)17Mg(H2O)6Mo8As2Fe3O36(OH),,
518,Fe2(H2O)15(OH)2Fe(H2O)6Mo8As2Fe3O37,,
519,Na2(H2O)17Ca(H2O)6Mo8As2Fe3O34(OH)3,,
520,Na2(H2O)16Na(H2O)6Mo8As2Fe3O33(OH)4,,
521,Al6(AsO4)3(OH)9(H2O)5(H2O)11,,
522,Na6Ca2(Al6Si6O24)Cl4,,
523,PbFe3(AsO4)(SO4)(OH)6,,
524,MnMn2(PO4)2,,
525,CaMn2(PO4)2,,
526,CaBi2O2(CO3)2,,
527,(Au0.5Ag0.5)4Cu(Te0.5Pb0.5),,
528,(Na0.33Ca0.33K0.33)8(Si6Al6O24)(SO4)2(OH)0.5(H2O),,
529,Tl2SbS2,,
530,Ba2(TiV)(As2O5)2OF,,
531,Zn(SO4)(H2O)6,,
532,KNa2Mg2(H2O)25H2PV12O40(VO)2,,
533,Ca2Al2SiO6(OH)2,,
534,AgPb2F2Cl3,,
535,Co(SO4)(H2O)7,,
536,Sb2MoO6,,
537,BaSi2O5(H2O)4,,
538,Y8(UO2)16O8(CO3)16(OH)8(H2O)39,,
539,LiAlSi2O6(H2O),,
